City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny Theft,Motor/Vehicle Theft,Arson
Baytown,2012,74420,247,5,15,97,130,3684,939,2438,307,23
Friendswood,2012,36965,15,0,4,4,7,353,66,274,13,0
Galveston,2012,49170,296,2,37,118,139,2469,517,1792,160,12
Houston,2012,2177273,21610,217,665,9385,11343,107678,26630,67978,13070,754
La Porte,2012,35054,61,1,25,8,27,604,127,439,38,8
League City,2012,86127,79,0,16,28,35,1734,299,1366,69,0
Missouri City,2012,70819,86,0,8,34,44,879,219,613,47,2
Pasadena,2012,154562,622,8,52,147,415,5610,999,4087,524,39
Sugar Land,2012,82924,109,0,4,37,68,1541,289,1217,35,3
Texas City,2012,46448,148,2,11,51,84,1700,355,1278,67,3
Baytown,2013,73709,285,4,19,126,136,3653,916,2373,364,14
Friendswood,2013,37226,11,0,1,2,8,418,88,313,17,0
Galveston,2013,48067,236,3,56,93,84,2335,439,1707,189,6
Houston,2013,2180606,20993,214,618,9891,10270,110919,23733,73591,13595,708
La Porte,2013,34671,40,0,12,9,19,593,117,433,43,7
League City,2013,89596,96,2,14,22,58,1918,386,1476,56,1
Missouri City,2013,69487,72,0,5,35,32,1151,186,889,76,0
Pasadena,2013,153195,592,3,52,192,345,5501,1011,3980,510,25
Sugar Land,2013,83460,108,1,6,35,66,1613,256,1311,46,3
Texas City,2013,45793,126,2,0,55,69,1745,385,1267,93,3
Baytown,2014,76253,241,5,32,84,120,3157,638,2091,428,16
Friendswood,2014,38012,21,0,11,2,8,329,70,245,14,3
Galveston,2014,48961,256,6,51,105,94,2054,414,1447,193,17
Houston,2014,2219933,22008,242,812,10186,10768,104197,21629,68125,14443,716
La Porte,2014,34852,70,0,29,12,29,584,111,425,48,7
League City,2014,92790,98,3,30,26,39,1807,317,1421,69,0
Missouri City,2014,70853,126,1,17,35,73,1162,207,856,99,4
Pasadena,2014,153540,591,7,93,154,337,4630,788,3322,520,16
Sugar Land,2014,85055,99,1,6,36,56,1400,220,1132,48,2
Texas City,2014,46273,150,2,10,48,90,1652,271,1272,109,0
Baytown,2015,77145,233,6,34,81,112,2876,483,1967,426,10
Friendswood,2015,38851,28,1,17,3,7,355,60,277,18,3
Galveston,2015,50065,224,2,61,76,85,1818,335,1296,187,15
Houston,2015,2275221,21994,303,986,10278,10427,100053,19859,66634,13560,671
La Porte,2015,35336,79,0,27,11,41,560,95,402,63,4
League City,2015,97172,88,1,25,25,37,1767,240,1454,73,10
Missouri City,2015,72879,148,1,25,59,63,1268,230,930,108,5
Pasadena,2015,154986,632,2,70,183,377,4273,724,2994,555,41
Sugar Land,2015,88810,83,1,11,42,29,1470,206,1239,25,0
Texas City,2015,46976,186,3,19,61,103,1458,233,1142,83,1
Baytown,2016,77224,302,9,25,98,170,2858,525,1960,373,7
Friendswood,2016,39402,27,0,11,6,10,302,36,250,16,0
Galveston,2016,50667,244,6,60,77,101,1771,331,1244,196,3
Houston,2016,2334348,23960,301,1210,9962,12487,100856,18488,69630,12738,668
La Porte,2016,35410,73,1,11,13,48,602,97,432,73,0
League City,2016,101436,82,5,35,22,20,1937,256,1589,92,10
Missouri City,2016,75607,144,3,22,56,63,1263,216,953,94,3
Pasadena,2016,154648,691,3,105,211,372,4008,683,2912,413,20
Sugar Land,2016,90088,77,0,16,43,18,1460,250,1162,48,1
Texas City,2016,48095,249,2,33,63,151,1759,324,1349,86,1
Baytown,2017,76704,288,6,38,108,136,2678,506,1846,326,1
Friendswood,2017,39990,36,0,16,11,9,321,57,247,17,1
Galveston,2017,51021,257,2,63,82,110,1790,275,1231,284,3
Houston,2017,2338235,25609,269,1366,9773,14201,96532,17108,67828,11596,665
La Porte,2017,35293,103,0,20,16,67,527,77,401,49,3
League City,2017,105351,97,3,34,18,42,1718,218,1407,93,3
Missouri City,2017,75863,149,2,23,46,78,969,133,767,69,0
Pasadena,2017,154000,711,5,93,195,418,3773,636,2758,379,23
Sugar Land,2017,89790,71,0,15,36,20,1289,158,1075,56,0
Texas City,2017,48774,237,2,47,46,142,1704,336,1245,123,1
Baytown,2018,76704,288,6,38,108,136,2678,506,1846,326,1
Friendswood,2018,39990,36,0,16,11,9,321,57,247,17,1
Galveston,2018,51021,257,2,63,82,110,1790,275,1231,284,3
Houston,2018,2338235,25609,269,1366,9773,14201,96532,17108,67828,11596,665
La Porte,2018,35293,103,0,20,16,67,527,77,401,49,3
League City,2018,105351,97,3,34,18,42,1718,218,1407,93,3
Missouri City,2018,75863,149,2,23,46,78,969,133,767,69,0
Pasadena,2018,154000,711,5,93,195,418,3773,636,2758,379,23
Sugar Land,2018,89790,71,0,15,36,20,1289,158,1075,56,0
Texas City,2018,48774,237,2,47,46,142,1704,336,1245,123,1
