Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"Texas City, TX",Feb-12,All Residential,Place/City,FALSE,TX,0.939615078,-0.50%,,16,-11.10%,,221,0.00%,,114,42,,$73K,-2.00%,,50,4.20%,
"Pasadena, TX",May-12,All Residential,Place/City,FALSE,TX,0.975172419,1.20%,2.00%,74,-16.90%,8.80%,377,-4.80%,-26.20%,86,29,42,$115K,15.70%,23.30%,99,-19.50%,-14.70%
"Pasadena, TX",Jul-12,All Residential,Place/City,FALSE,TX,0.952726699,-3.40%,-0.50%,74,-19.60%,15.60%,387,0.50%,-23.20%,61,30,-5,$95K,-4.90%,-3.30%,105,-7.10%,-8.70%
"Texas City, TX",Oct-12,All Residential,Place/City,FALSE,TX,0.913394868,-0.30%,,32,18.50%,,227,-1.30%,,69,-21,,$55K,-26.60%,,54,-1.80%,
"Houston, TX",Nov-12,All Residential,Place/City,FALSE,TX,0.966749869,0.10%,0.50%,2158,-5.70%,27.90%,7890,-5.00%,-28.60%,53,0,-29,$153K,-0.90%,12.10%,2278,-13.20%,0.60%
"Friendswood, TX",May-13,All Residential,Place/City,FALSE,TX,0.975051181,0.40%,1.10%,96,29.70%,15.70%,223,-1.80%,-23.90%,43,-11,-82,$189K,-2.20%,-14.10%,105,5.00%,1.90%
"Missouri City, TX",Sep-13,All Residential,Place/City,FALSE,TX,0.972725783,-0.10%,-0.10%,128,-37.30%,26.70%,390,-1.50%,-27.40%,42,8,-11,$214K,3.60%,25.90%,135,-5.60%,7.10%
"Galveston, TX",Dec-13,All Residential,Place/City,FALSE,TX,0.946626641,2.60%,0.90%,62,17.00%,-11.40%,553,-1.60%,5.10%,85,-2,-12,$195K,21.90%,22.60%,77,-7.20%,-4.90%
"Missouri City, TX",Jan-14,All Residential,Place/City,FALSE,TX,0.976787551,0.80%,2.00%,106,-8.60%,10.40%,358,2.60%,-16.70%,46,7,-35,$189K,-17.30%,18.90%,145,34.30%,-6.50%
"Baytown, TX",Sep-14,All Residential,Place/City,FALSE,TX,0.97768605,0.50%,1.10%,94,-2.10%,25.30%,309,0.30%,-14.20%,35,13,-12,$150K,3.20%,19.70%,112,-14.50%,4.70%
"Friendswood, TX",Apr-15,All Residential,Place/City,FALSE,TX,0.966938295,-0.80%,-1.10%,64,6.70%,-11.10%,110,13.40%,-30.40%,14,-1,-7,$230K,10.20%,1.10%,87,22.50%,-15.50%
"Missouri City, TX",Aug-15,All Residential,Place/City,FALSE,TX,0.975442617,-0.50%,-0.30%,168,12.00%,-4.50%,405,3.80%,7.40%,24,4,1,$237K,-8.80%,-5.20%,193,-7.70%,13.50%
"Pasadena, TX",Nov-15,All Residential,Place/City,FALSE,TX,0.980199809,-0.50%,0.00%,60,-24.10%,11.10%,193,-0.50%,6.00%,22,-3,-3,$120K,-13.20%,-4.20%,78,-11.40%,20.00%
"Missouri City, TX",Apr-16,All Residential,Place/City,FALSE,TX,0.976938813,0.50%,-0.50%,137,1.50%,-4.20%,408,4.60%,32.00%,26,-16,0,$260K,10.90%,1.20%,173,-10.80%,-16.80%
"Missouri City, TX",Aug-16,All Residential,Place/City,FALSE,TX,0.970639614,-0.30%,-0.50%,156,25.80%,-7.10%,523,1.90%,29.10%,32,16,8,$246K,5.60%,3.80%,190,-18.50%,-1.60%
"League City, TX",Mar-17,All Residential,Place/City,FALSE,TX,0.983600301,0.10%,-0.10%,173,38.40%,3.00%,370,0.30%,-8.00%,37,0,12,$255K,4.10%,4.30%,230,20.40%,5.00%
"Baytown, TX",Jun-17,All Residential,Place/City,FALSE,TX,0.980464339,0.00%,0.20%,105,14.10%,0.00%,252,7.70%,-5.30%,23,0,-4,$182K,0.80%,9.00%,143,17.20%,-2.70%
"Texas City, TX",Jun-17,All Residential,Place/City,FALSE,TX,0.978900071,3.80%,3.80%,55,-9.80%,-8.30%,154,10.80%,36.30%,28,7,4,$142K,18.00%,13.40%,99,28.60%,26.90%
"Friendswood, TX",Dec-17,All Residential,Place/City,FALSE,TX,0.974008305,0.30%,0.30%,59,-15.70%,-3.30%,162,-9.50%,2.50%,38,-20,17,$256K,4.50%,6.30%,49,-30.00%,-5.80%
"Pasadena, TX",Dec-18,All Residential,Place/City,FALSE,TX,0.977742668,0.90%,-0.40%,78,27.90%,-1.30%,216,1.90%,67.40%,28,9,7,$168K,-3.40%,5.00%,60,-29.40%,27.70%
