,Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
0,"Texas City, TX",February 2012,All Residential,Place/City,False,TX,0.939615078,-0.5%,,16,-11.1%,,221,0.0%,,114,42,,$73K,-2.0%,,50,4.2%,
1,"Pasadena, TX",May 2012,All Residential,Place/City,False,TX,0.9751724190000001,1.2%,2.0%,74,-16.9%,8.8%,377,-4.8%,-26.2%,86,29,42.0,$115K,15.7%,23.3%,99,-19.5%,-14.7%
2,"Conroe, TX",July 2012,All Residential,Place/City,False,TX,0.967147621,1.2%,1.0%,150,4.2%,23.0%,606,-1.9%,-8.2%,64,1,-13.0,$160K,-8.3%,2.7%,186,-3.6%,12.7%
3,"Pasadena, TX",July 2012,All Residential,Place/City,False,TX,0.9527266990000001,-3.4%,-0.5%,74,-19.6%,15.6%,387,0.5%,-23.2%,61,30,-5.0,$95K,-4.9%,-3.3%,105,-7.1%,-8.7%
4,"Texas City, TX",October 2012,All Residential,Place/City,False,TX,0.9133948679999999,-0.3%,,32,18.5%,,227,-1.3%,,69,-21,,$55K,-26.6%,,54,-1.8%,
5,"Houston, TX",November 2012,All Residential,Place/City,False,TX,0.966749869,0.1%,0.5%,2158,-5.7%,27.9%,7890,-5.0%,-28.6%,53,0,-29.0,$153K,-0.9%,12.1%,2278,-13.2%,0.6%
6,"Friendswood, TX",May 2013,All Residential,Place/City,False,TX,0.975051181,0.4%,1.1%,96,29.7%,15.7%,223,-1.8%,-23.9%,43,-11,-82.0,$189K,-2.2%,-14.1%,105,5.0%,1.9%
7,"Missouri City, TX",September 2013,All Residential,Place/City,False,TX,0.972725783,-0.1%,-0.1%,128,-37.3%,26.7%,390,-1.5%,-27.4%,42,8,-11.0,$214K,3.6%,25.9%,135,-5.6%,7.1%
8,"Galveston, TX",December 2013,All Residential,Place/City,False,TX,0.9466266409999999,2.6%,0.9%,62,17.0%,-11.4%,553,-1.6%,5.1%,85,-2,-12.0,$195K,21.9%,22.6%,77,-7.2%,-4.9%
9,"Missouri City, TX",January 2014,All Residential,Place/City,False,TX,0.9767875509999999,0.8%,2.0%,106,-8.6%,10.4%,358,2.6%,-16.7%,46,7,-35.0,$189K,-17.3%,18.9%,145,34.3%,-6.5%
10,"Baytown, TX",September 2014,All Residential,Place/City,False,TX,0.97768605,0.5%,1.1%,94,-2.1%,25.3%,309,0.3%,-14.2%,35,13,-12.0,$150K,3.2%,19.7%,112,-14.5%,4.7%
11,"Friendswood, TX",April 2015,All Residential,Place/City,False,TX,0.966938295,-0.8%,-1.1%,64,6.7%,-11.1%,110,13.4%,-30.4%,14,-1,-7.0,$230K,10.2%,1.1%,87,22.5%,-15.5%
12,"Conroe, TX",July 2015,All Residential,Place/City,False,TX,0.973945783,-0.2%,-0.3%,193,-13.5%,4.3%,734,7.0%,40.1%,36,8,17.0,$220K,2.3%,7.3%,260,-4.8%,6.1%
13,"Missouri City, TX",August 2015,All Residential,Place/City,False,TX,0.975442617,-0.5%,-0.3%,168,12.0%,-4.5%,405,3.8%,7.4%,24,4,1.0,$237K,-8.8%,-5.2%,193,-7.7%,13.5%
14,"Pasadena, TX",November 2015,All Residential,Place/City,False,TX,0.980199809,-0.5%,0.0%,60,-24.1%,11.1%,193,-0.5%,6.0%,22,-3,-3.0,$120K,-13.2%,-4.2%,78,-11.4%,20.0%
15,"Missouri City, TX",April 2016,All Residential,Place/City,False,TX,0.976938813,0.5%,-0.5%,137,1.5%,-4.2%,408,4.6%,32.0%,26,-16,0.0,$260K,10.9%,1.2%,173,-10.8%,-16.8%
16,"Missouri City, TX",August 2016,All Residential,Place/City,False,TX,0.9706396140000001,-0.3%,-0.5%,156,25.8%,-7.1%,523,1.9%,29.1%,32,16,8.0,$246K,5.6%,3.8%,190,-18.5%,-1.6%
17,"League City, TX",March 2017,All Residential,Place/City,False,TX,0.983600301,0.1%,-0.1%,173,38.4%,3.0%,370,0.3%,-8.0%,37,0,12.0,$255K,4.1%,4.3%,230,20.4%,5.0%
18,"Baytown, TX",June 2017,All Residential,Place/City,False,TX,0.9804643390000001,0.0%,0.2%,105,14.1%,0.0%,252,7.7%,-5.3%,23,0,-4.0,$182K,0.8%,9.0%,143,17.2%,-2.7%
19,"Texas City, TX",June 2017,All Residential,Place/City,False,TX,0.978900071,3.8%,3.8%,55,-9.8%,-8.3%,154,10.8%,36.3%,28,7,4.0,$142K,18.0%,13.4%,99,28.6%,26.9%
20,"Friendswood, TX",December 2017,All Residential,Place/City,False,TX,0.974008305,0.3%,0.3%,59,-15.7%,-3.3%,162,-9.5%,2.5%,38,-20,17.0,$256K,4.5%,6.3%,49,-30.0%,-5.8%
21,"Pasadena, TX",December 2018,All Residential,Place/City,False,TX,0.977742668,0.9%,-0.4%,78,27.9%,-1.3%,216,1.9%,67.4%,28,9,7.0,$168K,-3.4%,5.0%,60,-29.4%,27.7%
22,"Pasadena, TX",April 2019,All Residential,Place/City,False,TX,0.974644275,-0.3%,0.0%,93,-2.1%,0.0%,180,-2.7%,32.4%,33,3,24.0,$164K,3.5%,2.5%,118,22.9%,7.3%
23,"League City, TX",May 2019,All Residential,Place/City,False,TX,0.9872013690000001,0.4%,0.5%,212,14.6%,0.5%,498,8.7%,12.7%,33,3,19.0,$270K,2.4%,1.9%,275,13.2%,-4.8%
24,"Conroe, TX",February 2020,All Residential,Place/City,False,TX,0.977618401,1.1%,0.7%,158,19.7%,-5.4%,730,-2.3%,-2.0%,54,-10,-25.0,$249K,3.9%,9.1%,262,-6.4%,13.4%
25,"Houston, TX",May 2020,All Residential,Place/City,False,TX,0.972022947,-0.2%,-0.4%,2092,2.5%,-35.4%,9740,-2.9%,-10.2%,40,4,8.0,$228K,-3.8%,-5.0%,3649,29.9%,-20.6%
26,"Conroe, TX",February 2013,All Residential,Place/City,False,TX,0.9626579820000001,0.0%,0.9%,106,26.2%,29.3%,438,-1.1%,-22.2%,59,-23,-44.0,$158K,2.3%,19.3%,160,12.7%,8.8%
27,"Conroe, TX",July 2013,All Residential,Place/City,False,TX,0.975109607,0.2%,0.8%,195,12.1%,30.0%,496,3.3%,-18.2%,43,5,-21.0,$185K,-7.0%,15.7%,245,14.0%,31.7%
28,"Houston, TX",October 2013,All Residential,Place/City,False,TX,0.974978467,-0.4%,0.9%,2587,2.7%,13.1%,7052,-2.8%,-15.1%,32,4,-21.0,$163K,-4.7%,5.4%,2900,-2.5%,10.5%
29,"Sugar Land, TX",November 2013,All Residential,Place/City,False,TX,0.966097454,-0.6%,-0.3%,156,-11.9%,4.0%,346,-6.0%,-26.2%,28,5,-41.0,$284K,9.1%,19.1%,157,-31.4%,27.6%
30,"Texas City, TX",June 2014,All Residential,Place/City,False,TX,0.937923339,-1.3%,-1.3%,47,-7.8%,62.1%,152,-1.3%,-27.6%,31,-45,-19.0,$89K,-15.3%,-13.7%,65,20.4%,41.3%
31,"Missouri City, TX",September 2014,All Residential,Place/City,False,TX,0.979952075,0.2%,0.7%,120,-31.8%,-6.3%,378,0.3%,-3.1%,18,-5,-24.0,$215K,-14.0%,0.4%,162,-4.7%,20.0%
32,"League City, TX",February 2015,All Residential,Place/City,False,TX,0.978563327,-0.3%,0.8%,137,26.9%,-5.5%,368,0.8%,-10.9%,48,11,-5.0,$228K,4.7%,8.6%,183,10.9%,-7.1%
33,"Sugar Land, TX",October 2015,All Residential,Place/City,False,TX,0.965712743,-0.6%,-1.3%,167,-10.2%,2.5%,557,0.7%,63.3%,42,7,10.0,$325K,-2.5%,1.6%,206,-2.4%,15.7%
34,"Conroe, TX",October 2015,All Residential,Place/City,False,TX,0.96870995,0.1%,-0.5%,157,-22.7%,-6.5%,740,4.7%,36.0%,52,11,13.0,$220K,0.7%,17.1%,218,-1.8%,15.3%
