,Geo_ID,Year,Geographic Area Name,"Estimate VALUE Less than $50,000","Estimate VALUE $50,000 to $99,999","Estimate VALUE $100,000 to $149,999","Estimate VALUE $150,000 to $199,999","Estimate VALUE $200,000 to $299,999","Estimate VALUE $300,000 to $499,999","Estimate VALUE $500,000 to $999,999","Estimate VALUE $1,000,000 or more",Estimate VALUE Median (dollars),"Estimate VALUE Less than $150,000","Estimate VALUE $150,000 to $299,999"
0,1,2012,United States,6784356,12100148,12245474,11370120,13393416,11068593,5696677,1460472,171900,31129978,24763536
1,1000,2012,Abilene ,4654,7085,4910,3475,1338,645,71,0,95300,16649,4813
2,1924,2012,Allen ,80,425,3321,6738,5524,3323,1345,286,199600,3826,12262
3,3000,2012,Amarillo ,5144,13317,13526,6681,4093,1670,571,102,115000,31987,10774
4,4000,2012,Arlington ,3302,16210,26830,13884,9746,2086,860,79,129100,46342,23630
5,4462,2012,"Atascocita CDP, Texas",219,1220,6520,5167,2166,704,143,547,153200,7959,7333
6,5000,2012,Austin ,4958,9788,21964,28202,36019,31138,12179,3510,222100,36710,64221
7,6128,2012,Baytown ,2764,7097,3332,1660,1114,152,50,27,91700,13193,2774
8,7000,2012,Beaumont ,5510,7369,4731,3522,2555,1353,240,236,99300,17610,6077
9,10768,2012,Brownsville ,7074,15141,4133,2805,1956,935,237,50,78100,26348,4761
10,10912,2012,Bryan ,1791,3392,3778,1553,1445,302,49,247,114800,8961,2998
11,13024,2012,Carrollton ,610,2118,7649,7736,6742,1866,483,182,167500,10377,14478
12,15976,2012,College Station ,187,392,2809,5146,3380,1387,488,0,180600,3388,8526
13,17000,2012,Corpus Christi ,6325,19485,17869,9161,6056,2471,792,121,113900,43679,15217
14,19000,2012,Dallas ,19404,55184,31755,19631,25884,27519,12073,4911,133200,106343,45515
15,19972,2012,Denton ,1380,2815,7468,4337,2798,964,306,0,139500,11663,7135
16,22660,2012,Edinburg ,3171,4302,4808,2124,1066,529,0,0,104800,12281,3190
17,24000,2012,El Paso ,6841,38347,43829,20199,11697,4922,1771,498,117600,89017,31896
18,26232,2012,"Flower Mound town, Texas",326,334,1007,2339,6985,5981,1596,93,277900,1667,9324
19,27000,2012,Fort Worth ,16844,46451,41175,22661,15244,6462,2940,610,115400,104470,37905
20,27684,2012,Frisco ,153,629,1648,7329,11352,8700,2330,399,247000,2430,18681
21,29000,2012,Garland ,1294,17392,17181,5643,4757,912,67,0,111700,35867,10400
22,30464,2012,Grand Prairie ,2577,9008,11805,6890,4484,824,80,149,127500,23390,11374
23,32372,2012,Harlingen ,3128,5083,2190,943,652,161,120,0,75000,10401,1595
24,35000,2012,Houston ,25598,99442,72541,42546,42037,35178,18955,7605,124600,197581,84583
25,37000,2012,Irving ,1287,7439,7767,4740,4723,4009,553,37,139200,16493,9463
26,39148,2012,Killeen ,1545,7563,6979,4434,1983,215,35,59,114300,16087,6417
27,41464,2012,Laredo ,3511,14119,11493,6926,2957,1268,261,93,109800,29123,9883
28,41980,2012,League City ,892,1782,7333,7020,5497,1855,376,0,161800,10007,12517
29,42508,2012,Lewisville ,944,1638,4917,6395,2933,147,0,30,156400,7499,9328
30,43888,2012,Longview ,2336,4404,3680,2660,1767,877,106,106,114500,10420,4427
31,45000,2012,Lubbock ,5923,15107,13163,5473,4810,2170,415,68,108600,34193,10283
32,45384,2012,McAllen ,2042,7861,7536,3428,1687,1045,233,323,114800,17439,5115
33,45744,2012,McKinney ,588,1193,6034,9007,9423,4458,1264,142,194900,7815,18430
34,47892,2012,Mesquite ,1630,10715,9638,3342,1609,58,34,86,105400,21983,4951
35,48072,2012,Midland ,2983,4852,4065,5541,5274,2652,624,0,158900,11900,10815
36,48768,2012,Mission ,2905,6907,2706,1819,1834,462,272,0,90700,12518,3653
37,48804,2012,Missouri City ,248,3659,4153,5448,5375,1406,198,175,163000,8060,10823
38,52356,2012,North Richland Hills ,403,2888,5774,3292,1966,1731,88,0,140300,9065,5258
39,53388,2012,Odessa ,3747,7772,6129,3461,2460,1019,358,0,106400,17648,5921
40,56000,2012,Pasadena ,3347,9638,5948,3863,2512,832,115,41,101000,18933,6375
41,56348,2012,Pearland ,277,641,6247,9168,7304,1129,182,0,176600,7165,16472
42,57200,2012,Pharr ,3547,5989,1636,877,274,88,0,0,73800,11172,1151
43,58016,2012,Plano ,662,2656,10642,15068,19607,11095,3293,991,212600,13960,34675
44,61796,2012,Richardson ,207,1490,4785,8296,6367,2995,276,0,184700,6482,14663
45,63500,2012,Round Rock ,154,854,6252,5112,4186,2676,157,0,167600,7260,9298
46,64472,2012,San Angelo ,3604,6269,4678,3559,1366,654,135,0,102900,14551,4925
47,65000,2012,San Antonio ,28358,87317,59606,40710,30300,12574,4634,869,112300,175281,71010
48,70808,2012,Sugar Land ,43,316,2889,2966,6129,6810,1879,446,271400,3248,9095
49,72176,2012,Temple ,811,4294,5098,2413,948,583,50,0,118100,10203,3361
50,72656,2012,"The Woodlands CDP, Texas",294,1089,3615,3746,6562,8857,4083,436,280200,4998,10308
51,74144,2012,Tyler ,1678,5754,4652,2986,2355,1881,795,0,125000,12084,5341
52,76000,2012,Waco ,4729,7543,4292,2826,1809,885,0,0,89700,16564,4635
53,79000,2012,Wichita Falls ,4020,7485,3969,3500,1248,421,237,14,93500,15474,4748
54,1,2013,United States,7460862,11528358,11684610,11051448,13228396,11362403,5969759,1558025,173900,30673830,24279844
55,1000,2013,Abilene ,4473,9028,4967,2534,1733,1148,99,0,89700,18468,4267
56,1924,2013,Allen ,492,1446,3123,6208,6356,4480,1123,0,204400,5061,12564
57,3000,2013,Amarillo ,5655,12060,12402,7367,5204,1603,574,334,118800,30117,12571
58,4000,2013,Arlington ,4352,15926,28219,15830,8741,2812,489,243,129400,48497,24571
59,4462,2013,"Atascocita CDP, Texas",313,2356,4908,4206,2534,1082,199,0,152100,7577,6740
60,5000,2013,Austin ,7037,8380,20529,26432,39959,36711,15025,3570,234800,35946,66391
61,6128,2013,Baytown ,2792,6127,3380,2270,963,247,0,107,92800,12299,3233
62,7000,2013,Beaumont ,5580,7898,6122,2723,2383,1766,201,62,99300,19600,5106
63,10768,2013,Brownsville ,6104,12774,5980,2737,1924,1378,40,103,85400,24858,4661
64,10912,2013,Bryan ,2217,3048,3548,2641,1112,131,235,0,113800,8813,3753
65,13024,2013,Carrollton ,561,2473,7765,8378,6974,1632,143,0,167600,10799,15352
66,15976,2013,College Station ,459,506,2930,3272,2242,1712,346,43,174900,3895,5514
67,17000,2013,Corpus Christi ,8229,20737,16108,10073,6422,2442,874,456,110700,45074,16495
68,19000,2013,Dallas ,21492,59362,29983,15783,27232,26514,14994,5808,127000,110837,43015
69,19972,2013,Denton ,1763,2533,5730,5176,3545,1625,441,32,153100,10026,8721
70,22660,2013,Edinburg ,1591,4929,3795,1667,993,190,78,68,101500,10315,2660
71,24000,2013,El Paso ,9450,38115,43382,19184,11696,5104,1849,407,116500,90947,30880
72,26232,2013,"Flower Mound town, Texas",517,180,1375,3708,7310,5509,1930,51,265300,2072,11018
73,27000,2013,Fort Worth ,15875,41605,41822,24668,15576,8647,3573,1140,120100,99302,40244
74,27684,2013,Frisco ,758,394,954,4952,11791,9797,3404,592,278400,2106,16743
75,29000,2013,Garland ,1945,15712,16042,5897,4850,1044,412,72,112200,33699,10747
76,30464,2013,Grand Prairie ,2669,8431,12941,7875,4298,848,41,0,125100,24041,12173
77,32372,2013,Harlingen ,2346,6201,2061,1138,1133,416,323,0,86900,10608,2271
78,35000,2013,Houston ,31612,100759,69442,37830,42110,39429,22467,6962,125700,201813,79940
79,37000,2013,Irving ,2202,6758,7761,4297,3715,3931,803,137,131200,16721,8012
80,39148,2013,Killeen ,1200,5170,7088,4640,2080,297,56,56,125100,13458,6720
81,41464,2013,Laredo ,5530,13036,11756,6524,3793,1336,533,0,110300,30322,10317
82,41980,2013,League City ,180,699,5603,7014,5935,2428,1199,0,185100,6482,12949
83,42508,2013,Lewisville ,1422,1238,4577,5672,2414,373,0,30,154400,7237,8086
84,43888,2013,Longview ,2378,3208,4110,3774,1449,709,443,39,127800,9696,5223
85,45000,2013,Lubbock ,7035,15858,11787,6494,4245,2918,621,0,106400,34680,10739
86,45384,2013,McAllen ,2107,7871,7163,3370,2937,798,397,130,114700,17141,6307
87,45744,2013,McKinney ,1477,850,4974,9342,7452,6713,1078,58,196400,7301,16794
88,47892,2013,Mesquite ,1685,9680,10515,3286,1377,0,135,89,108600,21880,4663
89,48072,2013,Midland ,2059,3810,4724,6017,4465,3643,1031,195,168100,10593,10482
