Geo_ID,Year,City,"Estimate VALUE Less than $50,000","Estimate VALUE $50,000 to $99,999","Estimate VALUE $100,000 to $149,999","Estimate VALUE $150,000 to $199,999","Estimate VALUE $200,000 to $299,999","Estimate VALUE $300,000 to $499,999","Estimate VALUE $500,000 to $999,999","Estimate VALUE $1,000,000 or more",Estimate VALUE Median (dollars),"Estimate VALUE Less than $150,000","Estimate VALUE $150,000 to $299,999","Estimate VALUE Between 0 and $300,000"
7000,2012,Beaumont,5510,7369,4731,3522,2555,1353,240,236,99300.0,17610,6077,23687
35000,2012,Houston,25598,99442,72541,42546,42037,35178,18955,7605,124600.0,197581,84583,282164
41980,2012,League City,892,1782,7333,7020,5497,1855,376,0,161800.0,10007,12517,22524
48804,2012,Missouri City,248,3659,4153,5448,5375,1406,198,175,163000.0,8060,10823,18883
56000,2012,Pasadena,3347,9638,5948,3863,2512,832,115,41,101000.0,18933,6375,25308
56348,2012,Pearland,277,641,6247,9168,7304,1129,182,0,176600.0,7165,16472,23637
70808,2012,Sugar Land,43,316,2889,2966,6129,6810,1879,446,271400.0,3248,9095,12343
72656,2012,The Woodlands CDP,294,1089,3615,3746,6562,8857,4083,436,280200.0,4998,10308,15306
7000,2013,Beaumont,5580,7898,6122,2723,2383,1766,201,62,99300.0,19600,5106,24706
35000,2013,Houston,31612,100759,69442,37830,42110,39429,22467,6962,125700.0,201813,79940,281753
41980,2013,League City,180,699,5603,7014,5935,2428,1199,0,185100.0,6482,12949,19431
48804,2013,Missouri City,425,2808,4294,3948,4267,1443,412,0,164100.0,7527,8215,15742
56000,2013,Pasadena,3363,9543,4739,3737,2795,657,31,0,98100.0,17645,6532,24177
56348,2013,Pearland,1284,528,5421,8754,7917,2760,0,42,180200.0,7233,16671,23904
70808,2013,Sugar Land,612,291,3303,3078,6119,6323,2501,122,265300.0,4206,9197,13403
72656,2013,The Woodlands CDP,461,106,2091,3713,5196,10392,3894,564,328400.0,2658,8909,11567
7000,2014,Beaumont,4892,9665,4314,4410,1535,655,347,49,90000.0,18871,5945,24816
16432,2014,Conroe,1635,2236,2391,1714,1675,1529,357,0,140400.0,6262,3389,9651
35000,2014,Houston,32698,92083,65256,39208,38837,44273,26287,8837,134500.0,190037,78045,268082
41980,2014,League City,1471,888,3392,4694,8178,2978,274,0,204600.0,5751,12872,18623
48804,2014,Missouri City,521,2833,5430,3988,4144,956,469,0,153400.0,8784,8132,16916
56000,2014,Pasadena,2560,9607,6341,3688,2856,1310,366,0,109000.0,18508,6544,25052
56348,2014,Pearland,1622,956,4559,9861,7301,2204,493,0,182100.0,7137,17162,24299
70808,2014,Sugar Land,162,124,2420,3256,7889,7607,2480,544,281300.0,2706,11145,13851
72656,2014,The Woodlands CDP,184,352,2153,2365,5224,8844,7535,527,353800.0,2689,7589,10278
7000,2015,Beaumont,5417,7059,4352,3210,2417,1670,500,0,,16828,5627,22455
16432,2015,Conroe,483,2449,2489,2057,1953,1986,153,150,158200.0,5421,4010,9431
35000,2015,Houston,22723,83076,67606,42920,42675,49492,31783,11309,152200.0,173405,85595,259000
41980,2015,League City,458,401,3886,6618,11417,5204,994,169,219200.0,4745,18035,22780
48804,2015,Missouri City,89,946,5572,4664,4559,1974,739,179,178400.0,6607,9223,15830
56000,2015,Pasadena,2339,8100,7359,3283,3308,845,181,42,111200.0,17798,6591,24389
56348,2015,Pearland,549,1415,2974,6796,9688,4184,0,0,207800.0,4938,16484,21422
70808,2015,Sugar Land,407,546,1675,3597,6214,7410,3326,493,288700.0,2628,9811,12439
72656,2015,The Woodlands CDP,243,519,2239,3123,5586,8159,7288,1535,347100.0,3001,8709,11710
7000,2016,Beaumont,4338,6892,4584,3176,2378,1381,649,94,,15814,5554,21368
16432,2016,Conroe,1486,2264,2156,3670,2111,2592,556,138,167900.0,5906,5781,11687
35000,2016,Houston,20369,86045,66160,45106,50707,58793,34543,12716,163700.0,172574,95813,268387
41980,2016,League City,132,329,2852,5578,9856,5995,695,0,227800.0,3313,15434,18747
48804,2016,Missouri City,291,1898,5124,3501,6538,2441,437,75,185700.0,7313,10039,17352
56000,2016,Pasadena,1926,7426,6719,3081,2766,1240,107,293,115700.0,16071,5847,21918
56348,2016,Pearland,1409,1313,2273,5240,14369,5033,269,28,231800.0,4995,19609,24604
70808,2016,Sugar Land,348,42,1032,3134,5832,7413,4944,462,325200.0,1422,8966,10388
72656,2016,The Woodlands CDP,153,512,1647,2709,6187,8523,5756,1820,339500.0,2312,8896,11208
7000,2017,Beaumont,1029,1460,1969,4054,4014,3342,571,0,196800.0,4458,8068,12526
16432,2017,Conroe,1029,1460,1969,4054,4014,3342,571,0,196800.0,4458,8068,12526
35000,2017,Houston,17785,69287,67340,43779,52542,57439,36716,13389,173600.0,154412,96321,250733
41980,2017,League City,471,471,2037,5216,9943,7252,1480,51,253400.0,2979,15159,18138
48804,2017,Missouri City,235,940,5818,2950,5072,2812,1389,318,195500.0,6993,8022,15015
56000,2017,Pasadena,2847,7009,5882,4458,3867,1291,134,46,122900.0,15738,8325,24063
56348,2017,Pearland,153,348,3948,4736,14131,7425,1099,0,251400.0,4449,18867,23316
70808,2017,Sugar Land,295,70,656,2303,6202,8640,3700,497,332900.0,1021,8505,9526
72656,2017,The Woodlands CDP,188,224,750,2496,7477,11780,6991,2067,366200.0,1162,9973,11135
70808,2018,Sugar Land,280,348,1207,2437,9395,13958,4159,845,329800.0,1835,11832,13667
41980,2018,League City,747,730,2601,3598,11272,6728,1050,203,248000.0,4078,14870,18948
16432,2018,Conroe,1252,2269,2144,3361,3564,3762,1178,73,196200.0,5665,6925,12590
35000,2018,Houston,17954,62262,62868,51277,54165,55504,37931,13631,179100.0,143084,105442,248526
48804,2018,Missouri City,381,755,2633,3965,5965,4167,816,224,226100.0,3769,9930,13699
7000,2018,Beaumont,3645,6731,4378,3982,2682,2077,604,134,,14754,6664,21418
56000,2018,Pasadena,2270,4397,8357,3837,3351,2064,341,215,132100.0,15024,7188,22212
56348,2018,Pearland,878,1012,1632,4821,12159,8487,800,0,259300.0,3522,16980,20502
72656,2018,The Woodlands CDP,607,0,552,1787,5507,11111,7495,2344,382100.0,1159,7294,8453
77546,2012,Friendswood,258,594,3741,2938,3048,2240,416,87,180400.0,4593,5986,10579
77546,2013,Friendswood,327,637,3559,2886,2813,2476,437,136,184000.0,4523,5699,10222
77546,2014,Friendswood,324,700,3579,2921,2907,2681,481,166,184300.0,4603,5828,10431
77546,2015,Friendswood,411,601,3600,2804,2693,2761,637,188,184500.0,4612,5497,10109
77546,2016,Friendswood,349,591,2944,2813,2711,3226,878,151,204600.0,3884,5524,9408
77546,2017,Friendswood,280,475,2690,2891,2961,3292,1126,169,220000.0,3445,5852,9297
77546,2018,Friendswood,246,483,2263,2894,3085,3637,1231,0,231300.0,2992,5979,8971
77550,2012,Galveston,421,1269,937,145,582,251,19,5,115600.0,2627,727,3354
77551,2012,La Porte,360,1072,1044,156,452,281,83,0,128000.0,2476,608,3084
77550,2013,Galveston,132,1,398,564,338,396,2,2,130000.0,531,902,1433
77551,2013,La Porte,105,1,338,306,304,386,4,3,140000.0,444,610,1054
77550,2014,Galveston,174,117,112,192,29,10,0,0,135000.0,403,221,624
77551,2014,La Porte,162,134,100,249,43,20,1,0,149000.0,396,292,688
77550,2015,Galveston,2502,794,9899,9899,50,5402,0,0,0.0,13195,9949,23144
77551,2015,La Porte,2616,779,7677,7677,78,4369,0,0,0.0,11072,7755,18827
77551,2016,La Porte,2633,802,7945,7945,53,4575,0,0,0.0,11380,7998,19378
77550,2016,Galveston,2624,802,9831,9831,66,5438,0,0,0.0,13257,9897,23154
77550,2017,Galveston,2733,764,9866,9866,72,5544,0,0,0.0,13363,9938,23301
77551,2017,La Porte,2935,760,8084,8084,55,4834,0,0,0.0,11779,8139,19918
77550,2018,Galveston,2876,887,9837,9837,70,5450,0,0,0.0,13600,9907,23507
77551,2018,La Porte,2952,812,8425,8425,61,4948,0,0,0.0,12189,8486,20675
