,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny Theft,Motor/Vehicle Theft,Arson
35,Baytown,2012.0,"74,420",247,5.0,,97,130,"3,684",939,"2,438",307,23.0
115,Conroe,2012.0,"59,856",221,2.0,,74,132,"2,061",447,"1,501",113,1.0
194,Friendswood,2012.0,"36,965",15,0.0,,4,7,353,66,274,13,0.0
198,Galveston,2012.0,"49,170",296,2.0,,118,139,"2,469",517,"1,792",160,12.0
255,Houston,2012.0,"2,177,273","21,610",217.0,,"9,385","11,343","107,678","26,630","67,978","13,070",754.0
328,League City,2012.0,"86,127",79,0.0,,28,35,"1,734",299,"1,366",69,0.0
382,Missouri City,2012.0,"70,819",86,0.0,,34,44,879,219,613,47,2.0
434,Pasadena,2012.0,"154,562",622,8.0,,147,415,"5,610",999,"4,087",524,39.0
556,Sugar Land,2012.0,"82,924",109,0.0,,37,68,"1,541",289,"1,217",35,3.0
574,Texas City,2012.0,"46,448",148,2.0,,51,84,"1,700",355,"1,278",67,3.0
33,Baytown,2013.0,"73,709",285,4.0,,126,136,"3,653",916,"2,373",364,14.0
106,Conroe,2013.0,"62,962",216,1.0,,60,126,"2,071",416,"1,550",105,1.0
180,Friendswood,2013.0,"37,226",11,0.0,,2,8,418,88,313,17,0.0
186,Galveston,2013.0,"48,067",236,3.0,,93,84,"2,335",439,"1,707",189,6.0
241,Houston,2013.0,"2,180,606","20,993",214.0,,"9,891","10,270","110,919","23,733","73,591","13,595",708.0
309,League City,2013.0,"89,596",96,2.0,,22,58,"1,918",386,"1,476",56,1.0
362,Missouri City,2013.0,"69,487",72,0.0,,35,32,"1,151",186,889,76,0.0
411,Pasadena,2013.0,"153,195",592,3.0,,192,345,"5,501","1,011","3,980",510,25.0
527,Sugar Land,2013.0,"83,460",108,1.0,,35,66,"1,613",256,"1,311",46,3.0
540,Texas City,2013.0,"45,793",126,2.0,,55,69,"1,745",385,"1,267",93,3.0
35,Baytown,2014.0,"76,253",241,5.0,32.0,84,120,"3,157",638,"2,091",428,16.0
111,Conroe,2014.0,"64,446",206,2.0,28.0,71,105,"2,211",431,"1,672",108,4.0
189,Friendswood,2014.0,"38,012",21,0.0,11.0,2,8,329,70,245,14,3.0
195,Galveston,2014.0,"48,961",256,6.0,51.0,105,94,"2,054",414,"1,447",193,17.0
251,Houston,2014.0,"2,219,933","22,008",242.0,812.0,"10,186","10,768","104,197","21,629","68,125","14,443",716.0
320,League City,2014.0,"92,790",98,3.0,30.0,26,39,"1,807",317,"1,421",69,0.0
371,Missouri City,2014.0,"70,853",126,1.0,17.0,35,73,"1,162",207,856,99,4.0
421,Pasadena,2014.0,"153,540",591,7.0,93.0,154,337,"4,630",788,"3,322",520,16.0
540,Sugar Land,2014.0,"85,055",99,1.0,6.0,36,56,"1,400",220,"1,132",48,2.0
556,Texas City,2014.0,"46,273",150,2.0,10.0,48,90,"1,652",271,"1,272",109,0.0
35,Baytown,2015.0,"77,145",233,6.0,34.0,81,112,"2,876",483,"1,967",426,10.0
110,Conroe,2015.0,"68,197",229,1.0,35.0,72,121,"2,437",380,"1,893",164,2.0
189,Friendswood,2015.0,"38,851",28,1.0,17.0,3,7,355,60,277,18,3.0
195,Galveston,2015.0,"50,065",224,2.0,61.0,76,85,"1,818",335,"1,296",187,15.0
252,Houston,2015.0,"2,275,221","21,994",303.0,986.0,"10,278","10,427","100,053","19,859","66,634","13,560",671.0
321,League City,2015.0,"97,172",88,1.0,25.0,25,37,"1,767",240,"1,454",73,10.0
371,Missouri City,2015.0,"72,879",148,1.0,25.0,59,63,"1,268",230,930,108,5.0
422,Pasadena,2015.0,"154,986",632,2.0,70.0,183,377,"4,273",724,"2,994",555,41.0
540,Sugar Land,2015.0,"88,810",83,1.0,11.0,42,29,"1,470",206,"1,239",25,0.0
556,Texas City,2015.0,"46,976",186,3.0,19.0,61,103,"1,458",233,"1,142",83,1.0
36,Baytown,2016.0,"77,224",302,9.0,25.0,98,170,"2,858",525,"1,960",373,7.0
110,Conroe,2016.0,"71,111",252,1.0,39.0,86,126,"2,199",376,"1,639",184,3.0
192,Friendswood,2016.0,"39,402",27,0.0,11.0,6,10,302,36,250,16,0.0
199,Galveston,2016.0,"50,667",244,6.0,60.0,77,101,"1,771",331,"1,244",196,3.0
